0,0,0,0.02,3.06,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.03,8.71,6.29,0.6,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.02,9.72,0.26,0,0.22,0,0,0.55,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03,0.72,3.37,0.12,7.88,3,0,0.37,6.18,2.13,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,1.64,3.02,0.07,0,0.02,0.06,3.34,0.05,0.26,0.21,0,0.62,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,3.13,2.59,0,0,0.06,0.01,0.12,0.11,0,0.08,0.03,0.03,0.12,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.61,2.12,3.31,1.03,0.15,0,0.14,1.25,0.03,0.04,5.74,0.04,1.14,7.37,3.41,0.71,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,19.64,0,0.05,0.18,3.97,3.12,0.94,0.18,0.03,0.52,3.32,14.45,4.44,0.05,0.01,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0.2,0.01,0.23,0.36,1.75,3.3,0.64,0.01,0,0.13,0.98,11.82,3.35,6.5,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.01,0.55,2.25,0,0.21,0.25,0,0,0.62,1.46,0.76,1.57,2.55,0.69,0.01,0.02,0,0,0,0,0,0,0.34,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
